time_utc,band,de_call,dx_call,de_grid,dx_grid,distance_km,analytic_daylight_fraction,analytic_dark_fraction,sample9_daylight_fraction,sample9_dark_fraction,sample9_min_elevation_deg,sample9_max_elevation_deg,dark_abs_delta,daylight_abs_delta
2026-06-18T18:32:15Z,160m,VK2AMA-#,VK3ALS,QF54HU,QF22KH,586.862484,0.000000,1.000000,0.000000,1.000000,-35.225952,-30.346634,0.000000,0.000000
2026-06-18T18:32:11Z,160m,VK4TUX-#,VK3ALS,QG62EI,QF22KH,1317.802086,0.000000,1.000000,0.000000,1.000000,-35.239108,-27.445457,0.000000,0.000000
2026-06-18T18:31:30Z,160m,OE3GBB-#,SV8EUB,JN87AQ,KM27KJ,1351.991502,0.236093,0.231882,0.222222,0.222222,-8.612341,2.663205,0.009660,0.013870
2026-06-18T18:31:00Z,160m,TA4/G8SCU-#,SV8EUB,KM56VO,KM27KJ,620.358231,0.000000,1.000000,0.000000,1.000000,-13.236749,-8.534527,0.000000,0.000000
2026-06-18T18:31:00Z,160m,S53M-#,SV8EUB,JN86CR,KM27KJ,1258.811204,0.199021,0.238006,0.222222,0.222222,-8.534527,2.121542,0.015784,0.023201
2026-06-18T18:30:45Z,160m,SY1BJV-#,SV8EUB,KM17VX,KM27KJ,115.301198,0.000000,1.000000,0.000000,1.000000,-8.495586,-7.460871,0.000000,0.000000
2026-06-18T18:30:45Z,160m,YO5PLD-#,SV8EUB,KN05NR,KM27KJ,977.437237,0.000000,0.343223,0.000000,0.333333,-8.495586,-1.211799,0.009890,0.000000
2026-06-18T18:30:45Z,160m,IK6IOQ-#,SV8EUB,JN72CK,KM27KJ,1067.327711,0.113459,0.260426,0.111111,0.333333,-8.495586,1.087271,0.072907,0.002348
2026-06-18T18:30:30Z,160m,SM2GHI-#,EU6KA,KP25AX,KO55BE,1243.719344,1.000000,0.000000,1.000000,0.000000,0.445131,9.705462,0.000000,0.000000
2026-06-18T18:30:00Z,160m,S54L-#,EU6KA,JN75FV,KO55BE,1507.982373,1.000000,0.000000,1.000000,0.000000,0.497155,2.850356,0.000000,0.000000
2026-06-18T18:29:00Z,160m,TA4/G8SCU-#,RA6ATZ,KM56VO,KN96JC,1206.010945,0.000000,1.000000,0.000000,1.000000,-12.942863,-9.745054,0.000000,0.000000
2026-06-18T18:28:59Z,160m,EU6KA-#,R4DV,KO55BE,LO21XN,1121.946006,0.067976,0.255517,0.111111,0.333333,-8.262179,0.603206,0.077816,0.043135
2026-06-18T18:28:45Z,160m,OE3GBB-#,EU6KA,JN87AQ,KO55BE,1279.735493,1.000000,0.000000,1.000000,0.000000,0.627596,3.053764,0.000000,0.000000
2026-06-18T18:28:30Z,160m,SM4JST/RX3-#,EU6KA,JO79,KO55BE,1023.183702,1.000000,0.000000,1.000000,0.000000,0.653750,9.747721,0.000000,0.000000
2026-06-18T18:28:30Z,160m,OH8WX-#,EU6KA,KP45CL,KO55BE,1149.098524,1.000000,0.000000,1.000000,0.000000,0.653750,8.219501,0.000000,0.000000
2026-06-18T18:28:30Z,160m,DD3SP-#,EU6KA,JO72EN65,KO55BE,1070.333083,1.000000,0.000000,1.000000,0.000000,0.653750,6.538835,0.000000,0.000000
2026-06-18T18:28:30Z,160m,UA3245SWL-#,EU6KA,KO85NT,KO55BE,446.114582,0.281649,0.000000,0.333333,0.000000,-1.667002,0.653750,0.000000,0.051684
2026-06-18T18:28:30Z,160m,SM0HXM/X-#,EU6KA,JO89TF,KO55BE,874.708704,1.000000,0.000000,1.000000,0.000000,0.653750,8.463990,0.000000,0.000000
2026-06-18T18:28:30Z,160m,YO5PLD-#,EU6KA,KN05NR,KO55BE,1227.416096,0.422065,0.000000,0.444444,0.000000,-0.894337,0.653750,0.000000,0.022380
2026-06-18T18:27:59Z,160m,UA3ZUX-#,RA6ATZ,KO90DK,KN96JC,483.260426,0.000000,1.000000,0.000000,1.000000,-9.630315,-6.129536,0.000000,0.000000
2026-06-18T18:27:59Z,160m,EU6KA-#,RA6ATZ,KO55BE,KN96JC,1178.501853,0.068456,0.351248,0.111111,0.333333,-9.630315,0.707868,0.017914,0.042655
2026-06-18T18:27:15Z,160m,OH0K/6-#,UA3LNM,KP03SF,KO75DF,1143.556643,0.912265,0.000000,0.888889,0.000000,-0.888108,9.233168,0.000000,0.023376
2026-06-18T18:27:00Z,160m,RK3TD-#,RU6C,LO16QW,KN96ID,1241.891156,0.000000,0.524233,0.000000,0.555556,-9.449552,-2.833382,0.031323,0.000000
2026-06-18T18:26:45Z,160m,DK8FT-#,UA3LNM,JN58OE,KO75DF,1761.606680,0.884812,0.000000,0.888889,0.000000,-0.838547,6.391297,0.000000,0.004077
2026-06-18T18:26:45Z,160m,OE3GBB-#,UA3LNM,JN87AQ,KO75DF,1510.142472,0.800097,0.000000,0.777778,0.000000,-0.838547,3.339147,0.000000,0.022319
2026-06-18T18:26:14Z,160m,UA3ZUX-#,UA3LNM,KO90DK,KO75DF,596.496927,0.000000,0.000000,0.000000,0.000000,-5.947008,-0.787236,0.000000,0.000000
2026-06-18T18:26:00Z,160m,OH8WX-#,UA3LNM,KP45CL,KO75DF,1186.518828,0.916879,0.000000,0.888889,0.000000,-0.764031,8.417184,0.000000,0.027990
2026-06-18T18:26:00Z,160m,SM4JST/RX3-#,UA3LNM,JO79,KO75DF,1244.881503,0.929194,0.000000,0.888889,0.000000,-0.764031,10.022557,0.000000,0.040305
2026-06-18T18:26:00Z,160m,YO5LD-#,RU6C,KN05IS,KN96ID,1389.058062,0.000000,0.369800,0.000000,0.333333,-9.335715,-0.278158,0.036467,0.000000
2026-06-18T18:26:00Z,160m,ES5PC-#,RU6C,KO38HJ,KN96ID,1585.666094,0.323415,0.241826,0.333333,0.222222,-9.335715,4.463620,0.019604,0.009918
2026-06-18T18:26:00Z,160m,SM7GXQ-#,UA3LNM,JO86FP,KO75DF,1118.509591,0.912013,0.000000,0.888889,0.000000,-0.764031,7.910802,0.000000,0.023124
2026-06-18T18:26:00Z,160m,YO5PLD-#,UA3LNM,KN05NR,KO75DF,1403.870257,0.000000,0.000000,0.000000,0.000000,-0.764031,-0.539691,0.000000,0.000000
2026-06-18T18:25:45Z,160m,DK8FT-#,RZ6LY,JN58OE,LN06HN,2208.857909,0.398677,0.235516,0.444444,0.222222,-9.848453,6.538097,0.013294,0.045767
2026-06-18T18:25:45Z,160m,TA4/G8SCU-#,RZ6LY,KM56VO,LN06HN,1326.979603,0.000000,1.000000,0.000000,1.000000,-12.461650,-9.848453,0.000000,0.000000
2026-06-18T18:25:45Z,160m,OE3GBB-#,RZ6LY,JN87AQ,LN06HN,1856.273079,0.260745,0.289679,0.333333,0.333333,-9.848453,3.482257,0.043655,0.072589
2026-06-18T18:24:45Z,160m,OE3GBB-#,RZ6CO,JN87AQ,LN04SJ,1992.472692,0.234370,0.377622,0.222222,0.444444,-11.817536,3.625643,0.066823,0.012148
2026-06-18T18:24:30Z,160m,SM4JST/RX3-#,RZ6CO,JO79,LN04SJ,2445.434246,0.463574,0.263419,0.444444,0.333333,-11.789200,10.188132,0.069914,0.019129
2026-06-18T18:24:30Z,160m,OH5AE-#,RZ6CO,KP30FR,LN04SJ,2071.469425,0.342581,0.322972,0.333333,0.333333,-11.789200,6.145870,0.010362,0.009248
2026-06-18T18:24:15Z,160m,UA3245SWL-#,RW2Z,KO85NT,KO81SG,505.757661,0.000000,0.000000,0.000000,0.000000,-4.801758,-1.269001,0.000000,0.000000
2026-06-18T18:24:15Z,160m,DD3SP-#,RW2Z,JO72EN65,KO81SG,1588.473983,0.596605,0.000000,0.555556,0.000000,-4.801758,7.097230,0.000000,0.041049
2026-06-18T18:24:00Z,160m,S54L-#,UA3ZUX,JN75FV,KO90DK,1829.325032,0.395636,0.000000,0.444444,0.000000,-5.712158,3.746574,0.000000,0.048809
2026-06-18T18:24:00Z,160m,SM2GHI-#,RZ6CO,KP25AX,LN04SJ,2623.262780,0.465878,0.261189,0.444444,0.333333,-11.732437,10.236076,0.072145,0.021434
2026-06-18T18:23:29Z,160m,UA3ZUX-#,R3RB,KO90DK,LO03VK86,410.805151,0.000000,0.000000,0.000000,0.000000,-5.657524,-4.755618,0.000000,0.000000
2026-06-18T18:23:15Z,160m,OE3GBB-#,UA3ZUX,JN87AQ,KO90DK,1643.190903,0.405148,0.000000,0.444444,0.000000,-5.632814,3.841237,0.000000,0.039296
2026-06-18T18:23:14Z,160m,RW2Z-#,UA3ZUX,KO81SG,KO90DK,106.573054,0.000000,0.000000,0.000000,0.000000,-5.631048,-4.694994,0.000000,0.000000
2026-06-18T18:23:00Z,160m,DD3SP-#,UA3ZUX,JO72EN65,KO90DK,1664.433980,0.564438,0.000000,0.555556,0.000000,-5.606312,7.262325,0.000000,0.008882
2026-06-18T18:23:00Z,160m,YO5PLD-#,UA3ZUX,KN05NR,KO90DK,1374.471083,0.000000,0.000000,0.000000,0.000000,-5.606312,-0.111500,0.000000,0.000000
2026-06-18T18:23:00Z,160m,OH5AE-#,UA3ZUX,KP30FR,KO90DK,1360.280198,0.528710,0.000000,0.555556,0.000000,-5.606312,6.289223,0.000000,0.026845
2026-06-18T18:22:30Z,160m,DL0PF-#,DL1HB,JN68RN,JO42WN24,511.604526,1.000000,0.000000,1.000000,0.000000,5.879799,9.749701,0.000000,0.000000
2026-06-18T18:22:00Z,160m,IK6IOQ-#,RZ6CO,JN72CK,LN04SJ,2208.062225,0.176108,0.396361,0.222222,0.444444,-11.504163,2.475292,0.048083,0.046114
2026-06-18T18:21:45Z,160m,TA4/G8SCU-#,RZ6CO,KM56VO,LN04SJ,1194.248129,0.000000,1.000000,0.000000,1.000000,-11.863303,-11.475492,0.000000,0.000000
2026-06-18T18:21:44Z,160m,UA3ZUX-#,RZ6CO,KO90DK,LN04SJ,714.741097,0.000000,0.912050,0.000000,0.888889,-11.473580,-5.471634,0.023161,0.000000
2026-06-18T18:21:30Z,160m,YO5PLD-#,RZ6CO,KN05NR,LN04SJ,1605.980677,0.008940,0.473007,0.111111,0.444444,-11.446791,0.103650,0.028562,0.102171
2026-06-18T18:20:00Z,160m,OH5AE-#,R4DV,KP30FR,LO21XN,1569.867081,0.468503,0.104149,0.444444,0.111111,-7.462179,6.577800,0.006962,0.024059
2026-06-18T18:20:00Z,160m,DD3SP-#,R4DV,JO72EN65,LO21XN,2144.688567,0.506569,0.096936,0.555556,0.111111,-7.462179,7.660119,0.014175,0.048987
2026-06-18T18:19:00Z,160m,DL8LAS-#,DL1HB,JO54EF,JO42WN24,188.265374,1.000000,0.000000,1.000000,0.000000,10.228866,10.675229,0.000000,0.000000
2026-06-18T18:18:45Z,160m,OE3GBB-#,DL1HB,JN87AQ,JO42WN24,697.408044,1.000000,0.000000,1.000000,0.000000,4.491671,10.263192,0.000000,0.000000
2026-06-18T18:18:45Z,160m,PD2RPS-#,DL1HB,JO22VW,JO42WN24,277.937115,1.000000,0.000000,1.000000,0.000000,10.263192,12.675923,0.000000,0.000000
2026-06-18T18:18:30Z,160m,SM4JST/RX3-#,DL1HB,JO79,JO42WN24,833.952644,1.000000,0.000000,1.000000,0.000000,10.297532,10.855372,0.000000,0.000000
2026-06-18T18:18:30Z,160m,SM7GXQ-#,DL1HB,JO86FP,JO42WN24,620.711095,1.000000,0.000000,1.000000,0.000000,8.798865,10.297532,0.000000,0.000000
2026-06-18T18:18:30Z,160m,DL0PF-#,DL1HB,JN68RN,JO42WN24,511.604526,1.000000,0.000000,1.000000,0.000000,6.459696,10.297532,0.000000,0.000000
2026-06-18T18:18:00Z,160m,S54L-#,DL1HB,JN75FV,JO42WN24,812.174397,1.000000,0.000000,1.000000,0.000000,4.652377,10.366250,0.000000,0.000000
2026-06-18T18:16:44Z,160m,UA3ZUX-#,RA4CA,KO90DK,LO31LM,618.192052,0.000000,0.596441,0.000000,0.555556,-7.562818,-4.933446,0.040885,0.000000
2026-06-18T18:16:30Z,160m,DD3SP-#,RA4CA,JO72EN65,LO31LM,2212.529126,0.518752,0.098623,0.555556,0.111111,-7.541591,8.126963,0.012488,0.036804
2026-06-18T18:16:15Z,160m,OE3GBB-#,R4DV,JN87AQ,LO21XN,2181.434551,0.404981,0.094027,0.444444,0.111111,-7.117023,4.855350,0.017084,0.039464
2026-06-18T18:16:00Z,160m,UA3245SWL-#,R4DV,KO85NT,LO21XN,748.470487,0.000000,0.165325,0.000000,0.222222,-7.093782,-0.476962,0.056897,0.000000
2026-06-18T18:15:00Z,160m,TA4/G8SCU-#,R7NA,KM56VO,LN07CQ,1412.355437,0.000000,1.000000,0.000000,1.000000,-10.838792,-7.616531,0.000000,0.000000
2026-06-18T18:15:00Z,160m,OE9GHV-#,S51DX,JN47WK,JN75DW,375.841759,1.000000,0.000000,1.000000,0.000000,5.230477,8.610250,0.000000,0.000000
2026-06-18T18:15:00Z,160m,S53A-#,S51DX,JN75FT,JN75DW,18.965081,1.000000,0.000000,1.000000,0.000000,5.068671,5.230477,0.000000,0.000000
2026-06-18T18:14:55Z,160m,DL0PF-#,S51DX,JN68RN,JN75DW,298.581650,1.000000,0.000000,1.000000,0.000000,5.243192,6.982523,0.000000,0.000000
